[['Marino 2nd Floor', '53', '11/02/2022 05:54 PM'], ['Marino Gym', '33', '11/02/2022 05:54 PM'], ['Marino 3rd Floor Weights', '59', '11/02/2022 05:32 PM'], ['Marino 3rd Floor Cardio', '29', '11/02/2022 05:32 PM'], ['Marino Track', '8', '11/02/2022 05:32 PM'], ['Squashbusters', '50', '11/02/2022 05:29 PM']]
[['Marino 2nd Floor', '63', '11/02/2022 06:54 PM'], ['Marino Gym', '43', '11/02/2022 06:54 PM'], ['Marino 3rd Floor Weights', '69', '11/02/2022 06:27 PM'], ['Marino 3rd Floor Cardio', '37', '11/02/2022 06:27 PM'], ['Marino Track', '7', '11/02/2022 06:27 PM'], ['Squashbusters', '33', '11/02/2022 06:49 PM']]
[['Marino 2nd Floor', '30', '11/02/2022 07:50 PM'], ['Marino Gym', '28', '11/02/2022 07:50 PM'], ['Marino 3rd Floor Weights', '56', '11/02/2022 07:55 PM'], ['Marino 3rd Floor Cardio', '26', '11/02/2022 07:55 PM'], ['Marino Track', '6', '11/02/2022 07:55 PM'], ['Squashbusters', '37', '11/02/2022 07:30 PM']]
[['Marino 2nd Floor', '37', '11/02/2022 08:53 PM'], ['Marino Gym', '46', '11/02/2022 08:53 PM'], ['Marino 3rd Floor Weights', '55', '11/02/2022 08:29 PM'], ['Marino 3rd Floor Cardio', '25', '11/02/2022 08:29 PM'], ['Marino Track', '7', '11/02/2022 08:29 PM'], ['Squashbusters', '36', '11/02/2022 08:32 PM']]
[['Marino 2nd Floor', '37', '11/02/2022 08:53 PM'], ['Marino Gym', '46', '11/02/2022 08:53 PM'], ['Marino 3rd Floor Weights', '46', '11/02/2022 09:57 PM'], ['Marino 3rd Floor Cardio', '51', '11/02/2022 09:57 PM'], ['Marino Track', '6', '11/02/2022 09:57 PM'], ['Squashbusters', '34', '11/02/2022 09:23 PM']]
[['Marino 2nd Floor', '37', '11/02/2022 10:37 PM'], ['Marino Gym', '46', '11/02/2022 10:37 PM'], ['Marino 3rd Floor Weights', '62', '11/02/2022 10:42 PM'], ['Marino 3rd Floor Cardio', '36', '11/02/2022 10:42 PM'], ['Marino Track', '6', '11/02/2022 09:57 PM'], ['Squashbusters', '22', '11/02/2022 10:01 PM']]
[['Marino 2nd Floor', '68', '11/02/2022 11:10 PM'], ['Marino Gym', '46', '11/02/2022 10:37 PM'], ['Marino 3rd Floor Weights', '62', '11/02/2022 10:42 PM'], ['Marino 3rd Floor Cardio', '36', '11/02/2022 10:42 PM'], ['Marino Track', '6', '11/02/2022 09:57 PM'], ['Squashbusters', '22', '11/02/2022 10:01 PM']]
[['Marino 2nd Floor', '68', '11/02/2022 11:10 PM'], ['Marino Gym', '46', '11/02/2022 10:37 PM'], ['Marino 3rd Floor Weights', '62', '11/02/2022 10:42 PM'], ['Marino 3rd Floor Cardio', '36', '11/02/2022 10:42 PM'], ['Marino Track', '6', '11/02/2022 09:57 PM'], ['Squashbusters', '22', '11/02/2022 10:01 PM']]
[['Marino 2nd Floor', '68', '11/02/2022 11:10 PM'], ['Marino Gym', '46', '11/02/2022 10:37 PM'], ['Marino 3rd Floor Weights', '62', '11/02/2022 10:42 PM'], ['Marino 3rd Floor Cardio', '36', '11/02/2022 10:42 PM'], ['Marino Track', '6', '11/02/2022 09:57 PM'], ['Squashbusters', '22', '11/02/2022 10:01 PM']]
[['Marino 2nd Floor', '68', '11/02/2022 11:10 PM'], ['Marino Gym', '46', '11/02/2022 10:37 PM'], ['Marino 3rd Floor Weights', '62', '11/02/2022 10:42 PM'], ['Marino 3rd Floor Cardio', '36', '11/02/2022 10:42 PM'], ['Marino Track', '6', '11/02/2022 09:57 PM'], ['Squashbusters', '22', '11/02/2022 10:01 PM']]
